	ensg	entrez_v99	gene_name_v99	ensg_v99
107	ENSG00000171819	10218	ANGPTL7	ENSG00000171819.5
108	ENSG00000171824	5394	EXOSC10	ENSG00000171824.14
109	ENSG00000173614	64802	NMNAT1	ENSG00000173614.14
110	ENSG00000173662	80835	TAS1R1	ENSG00000173662.21
111	ENSG00000173673	390992	HES3	ENSG00000173673.8
113	ENSG00000175206	4878	NPPA	ENSG00000175206.10
114	ENSG00000175262	148345	C1orf127	ENSG00000175262.14
115	ENSG00000175279	378708	CENPS	ENSG00000175279.22
116	ENSG00000175756	54998	AURKAIP1	ENSG00000175756.13
117	ENSG00000176022	126792	B3GALT6	ENSG00000176022.7
118	ENSG00000177000	4524	MTHFR	ENSG00000177000.13
121	ENSG00000177674	57085	AGTRAP	ENSG00000177674.16
123	ENSG00000178585	56998	CTNNBIP1	ENSG00000178585.15
124	ENSG00000178821	339456	TMEM52	ENSG00000178821.13
125	ENSG00000179172	343069	HNRNPCL1	ENSG00000179172.9
126	ENSG00000179403	64856	VWA1	ENSG00000179403.12
127	ENSG00000179412	101060301	HNRNPCL4	ENSG00000179412.10
129	ENSG00000180758	80045	GPR157	ENSG00000180758.12
130	ENSG00000182330	391002	PRAMEF8	ENSG00000182330.10
132	ENSG00000184163	388581	C1QTNF12	ENSG00000184163.3
133	ENSG00000186092	79501	OR4F5	ENSG00000186092.6
134	ENSG00000186827	7293	TNFRSF4	ENSG00000186827.11
135	ENSG00000186891	8784	TNFRSF18	ENSG00000186891.14
136	ENSG00000187017	83715	ESPN	ENSG00000187017.17
137	ENSG00000187545	343071	PRAMEF10	ENSG00000187545.5
138	ENSG00000187583	84069	PLEKHN1	ENSG00000187583.11
139	ENSG00000187608	9636	ISG15	ENSG00000187608.10
140	ENSG00000187634	148398	SAMD11	ENSG00000187634.12
141	ENSG00000187642	84808	PERM1	ENSG00000187642.9
142	ENSG00000187730	2563	GABRD	ENSG00000187730.9
143	ENSG00000187961	339451	KLHL17	ENSG00000187961.14
144	ENSG00000188157	375790	AGRN	ENSG00000188157.15
145	ENSG00000188290	57801	HES4	ENSG00000188290.10
146	ENSG00000188807	199953	TMEM201	ENSG00000188807.13
147	ENSG00000188976	26155	NOC2L	ENSG00000188976.11
148	ENSG00000188984	126767	AADACL3	ENSG00000188984.12
149	ENSG00000189337	23254	KAZN	ENSG00000189337.17
150	ENSG00000189339	728661	SLC35E2B	ENSG00000189339.12
151	ENSG00000189409	8510	MMP23B	ENSG00000189409.14
152	ENSG00000196581	55966	AJAP1	ENSG00000196581.11
153	ENSG00000197241	155184	SLC2A7	ENSG00000197241.3
154	ENSG00000197530	142678	MIB2	ENSG00000197530.12
155	ENSG00000197785	55210	ATAD3A	ENSG00000197785.14
156	ENSG00000197921	388585	HES5	ENSG00000197921.6
158	ENSG00000198793	2475	MTOR	ENSG00000198793.13
159	ENSG00000198912	339448	C1orf174	ENSG00000198912.11
172	ENSG00000204478	645425	PRAMEF20	ENSG00000204478.9
173	ENSG00000204479	391004	PRAMEF17	ENSG00000204479.4
174	ENSG00000204480	645414	PRAMEF19	ENSG00000204480.8
175	ENSG00000204481	729528	PRAMEF14	ENSG00000204481.8
176	ENSG00000204501	653619	PRAMEF15	ENSG00000204501.7
177	ENSG00000204505	343070	PRAMEF9	ENSG00000204505.4
178	ENSG00000204510	441871	PRAMEF7	ENSG00000204510.5
179	ENSG00000204518	343066	AADACL4	ENSG00000204518.2
180	ENSG00000204624	57540	DISP3	ENSG00000204624.8
181	ENSG00000204859	3104	ZBTB48	ENSG00000204859.13
182	ENSG00000205090	339453	TMEM240	ENSG00000205090.9
183	ENSG00000205116	643965	TMEM88B	ENSG00000205116.3
190	ENSG00000207730	406984	MIR200B	ENSG00000207730.3
194	ENSG00000215788	8718	TNFRSF25	ENSG00000215788.10
195	ENSG00000215790	9906	SLC35E2A	ENSG00000215790.7
197	ENSG00000215910	284498	C1orf167	ENSG00000215910.7
198	ENSG00000215912	100287898	TTC34	ENSG00000215912.12
200	ENSG00000215915	219293	ATAD3C	ENSG00000215915.10
204	ENSG00000221978	81669	CCNL2	ENSG00000221978.12
214	ENSG00000224051	80772	CPTP	ENSG00000224051.7
256	ENSG00000228594	643988	FNDC10	ENSG00000228594.4
266	ENSG00000229571	441873	PRAMEF25	ENSG00000229571.7
267	ENSG00000229571	645359	PRAMEF25	ENSG00000229571.7
289	ENSG00000232423	440561	PRAMEF6	ENSG00000232423.6
310	ENSG00000235098	441869	ANKRD65	ENSG00000235098.8
313	ENSG00000235169	388588	SMIM1	ENSG00000235169.8
325	ENSG00000237330	401934	RNF223	ENSG00000237330.3
332	ENSG00000237700	645382	PRAMEF33	ENSG00000237700.2
343	ENSG00000239810	440560	PRAMEF11	ENSG00000239810.3
351	ENSG00000241563	1325	CORT	ENSG00000241563.3
354	ENSG00000242485	55052	MRPL20	ENSG00000242485.6
356	ENSG00000243073	400735	PRAMEF4	ENSG00000243073.4
360	ENSG00000248333	984	CDK11B	ENSG00000248333.8
364	ENSG00000251503	100526739	CENPS-CORT	ENSG00000251503.8
401	ENSG00000270601	343068	PRAMEF5	ENSG00000270601.4
427	ENSG00000274764	101929983	PRAMEF27	ENSG00000274764.5
428	ENSG00000275774	440563	HNRNPCL2	ENSG00000275774.3
434	ENSG00000277058	649330	HNRNPCL3	ENSG00000277058.2
442	ENSG00000279169	400736	PRAMEF13	ENSG00000279169.3
444	ENSG00000279804	391003	PRAMEF18	ENSG00000279804.2
448	ENSG00000280267	645359	PRAMEF26	ENSG00000280267.4
457	ENSG00000284357	407040	MIR34A	ENSG00000284357.1
463	ENSG00000284662	81399	OR4F16	ENSG00000284662.1
473	ENSG00000284733	729759	OR4F29	ENSG00000284733.1
499	ENSG00000000938	2268	FGR	ENSG00000000938.13
500	ENSG00000001460	90529	STPG1	ENSG00000001460.18
501	ENSG00000001461	57185	NIPAL3	ENSG00000001461.17
502	ENSG00000004487	23028	KDM1A	ENSG00000004487.16
503	ENSG00000007968	1870	E2F2	ENSG00000007968.7
504	ENSG00000009709	5081	PAX7	ENSG00000009709.12
505	ENSG00000009780	199870	FAM76A	ENSG00000009780.15
506	ENSG00000011007	6924	ELOA	ENSG00000011007.12
507	ENSG00000011009	11313	LYPLA2	ENSG00000011009.11
508	ENSG00000020633	864	RUNX3	ENSG00000020633.18
509	ENSG00000037637	54455	FBXO42	ENSG00000037637.11
510	ENSG00000040487	54896	SLC66A1	ENSG00000040487.13
511	ENSG00000053371	8574	AKR7A2	ENSG00000053371.12
512	ENSG00000053372	51154	MRTO4	ENSG00000053372.5
513	ENSG00000055070	26099	SZRD1	ENSG00000055070.17
514	ENSG00000057757	57095	PITHD1	ENSG00000057757.10
515	ENSG00000058453	9696	CROCC	ENSG00000058453.17
516	ENSG00000060642	55650	PIGV	ENSG00000060642.10
517	ENSG00000065526	23013	SPEN	ENSG00000065526.12
518	ENSG00000070831	998	CDC42	ENSG00000070831.17
519	ENSG00000070886	2046	EPHA8	ENSG00000070886.12
520	ENSG00000074964	55160	ARHGEF10L	ENSG00000074964.17
521	ENSG00000075151	8672	EIF4G3	ENSG00000075151.20
522	ENSG00000076864	5909	RAP1GAP	ENSG00000076864.19
523	ENSG00000077549	832	CAPZB	ENSG00000077549.18
525	ENSG00000088280	55616	ASAP3	ENSG00000088280.19
526	ENSG00000090020	6548	SLC9A1	ENSG00000090020.11
527	ENSG00000090273	10726	NUDC	ENSG00000090273.14
528	ENSG00000090432	79594	MUL1	ENSG00000090432.7
529	ENSG00000090686	84196	USP48	ENSG00000090686.16
530	ENSG00000116138	23341	DNAJC16	ENSG00000116138.13
531	ENSG00000116329	4985	OPRD1	ENSG00000116329.11
532	ENSG00000116350	6429	SRSF4	ENSG00000116350.17
533	ENSG00000116771	79814	AGMAT	ENSG00000116771.6
534	ENSG00000116786	23207	PLEKHM2	ENSG00000116786.13
535	ENSG00000116809	7709	ZBTB17	ENSG00000116809.11
536	ENSG00000117115	11240	PADI2	ENSG00000117115.13
537	ENSG00000117118	6390	SDHB	ENSG00000117118.10
538	ENSG00000117122	4237	MFAP2	ENSG00000117122.14
539	ENSG00000117148	81569	ACTL8	ENSG00000117148.8
540	ENSG00000117154	84966	IGSF21	ENSG00000117154.12
541	ENSG00000117215	26279	PLA2G2D	ENSG00000117215.15
543	ENSG00000117245	57576	KIF17	ENSG00000117245.12
544	ENSG00000117298	1889	ECE1	ENSG00000117298.16
545	ENSG00000117305	3155	HMGCL	ENSG00000117305.15
546	ENSG00000117308	2582	GALE	ENSG00000117308.15
547	ENSG00000117318	3399	ID3	ENSG00000117318.9
548	ENSG00000117602	11123	RCAN3	ENSG00000117602.12
549	ENSG00000117614	25949	SYF2	ENSG00000117614.10
550	ENSG00000117616	57035	RSRP1	ENSG00000117616.18
551	ENSG00000117632	3925	STMN1	ENSG00000117632.23
552	ENSG00000117640	56181	MTFR1L	ENSG00000117640.18
553	ENSG00000117643	57134	MAN1C1	ENSG00000117643.14
554	ENSG00000117676	6195	RPS6KA1	ENSG00000117676.14
555	ENSG00000117682	79947	DHDDS	ENSG00000117682.17
556	ENSG00000117713	8289	ARID1A	ENSG00000117713.20
557	ENSG00000117748	6118	RPA2	ENSG00000117748.10
558	ENSG00000117751	5511	PPP1R8	ENSG00000117751.18
559	ENSG00000117758	23673	STX12	ENSG00000117758.14
560	ENSG00000120656	6883	TAF12	ENSG00000120656.11
561	ENSG00000125944	10236	HNRNPR	ENSG00000125944.20
562	ENSG00000125945	80818	ZNF436	ENSG00000125945.15
563	ENSG00000126698	22826	DNAJC8	ENSG00000126698.11
564	ENSG00000126705	27245	AHDC1	ENSG00000126705.15
565	ENSG00000126709	2537	IFI6	ENSG00000126709.15
566	ENSG00000127423	79000	AUNIP	ENSG00000127423.10
567	ENSG00000127463	23065	EMC1	ENSG00000127463.15
568	ENSG00000127472	5322	PLA2G5	ENSG00000127472.11
569	ENSG00000127481	23352	UBR4	ENSG00000127481.15
570	ENSG00000127483	50809	HP1BP3	ENSG00000127483.19
571	ENSG00000130695	64793	CEP85	ENSG00000130695.15
572	ENSG00000130766	83667	SESN2	ENSG00000130766.5
573	ENSG00000130768	27293	SMPDL3B	ENSG00000130768.15
574	ENSG00000130770	93974	ATP5IF1	ENSG00000130770.18
575	ENSG00000130772	54797	MED18	ENSG00000130772.14
576	ENSG00000130775	9473	THEMIS2	ENSG00000130775.16
577	ENSG00000131910	8431	NR0B2	ENSG00000131910.5
578	ENSG00000131914	79727	LIN28A	ENSG00000131914.11
579	ENSG00000132881	79363	CPLANE2	ENSG00000132881.12
580	ENSG00000132906	842	CASP9	ENSG00000132906.18
581	ENSG00000133216	2048	EPHB2	ENSG00000133216.16
582	ENSG00000133226	10250	SRRM1	ENSG00000133226.17
583	ENSG00000142615	63036	CELA2A	ENSG00000142615.8
584	ENSG00000142619	51702	PADI3	ENSG00000142619.4
585	ENSG00000142621	114827	FHAD1	ENSG00000142621.19
586	ENSG00000142623	29943	PADI1	ENSG00000142623.11
587	ENSG00000142627	1969	EPHA2	ENSG00000142627.13
588	ENSG00000142632	128272	ARHGEF19	ENSG00000142632.17
589	ENSG00000142634	79180	EFHD2	ENSG00000142634.13
590	ENSG00000142661	127294	MYOM3	ENSG00000142661.19
591	ENSG00000142669	83442	SH3BGRL3	ENSG00000142669.15
592	ENSG00000142675	10256	CNKSR1	ENSG00000142675.18
593	ENSG00000142676	6135	RPL11	ENSG00000142676.14
594	ENSG00000142677	58985	IL22RA1	ENSG00000142677.4
595	ENSG00000142684	51042	ZNF593	ENSG00000142684.9
596	ENSG00000142733	9064	MAP3K6	ENSG00000142733.17
597	ENSG00000142748	8547	FCN3	ENSG00000142748.12
598	ENSG00000142751	54707	GPN2	ENSG00000142751.15
599	ENSG00000142765	84958	SYTL1	ENSG00000142765.18
600	ENSG00000142784	23038	WDTC1	ENSG00000142784.16
601	ENSG00000142789	10136	CELA3A	ENSG00000142789.20
602	ENSG00000142794	84224	NBPF3	ENSG00000142794.18
603	ENSG00000142798	3339	HSPG2	ENSG00000142798.20
604	ENSG00000157191	55707	NECAP2	ENSG00000157191.20
605	ENSG00000157978	26119	LDLRAP1	ENSG00000157978.12
606	ENSG00000158006	5051	PAFAH2	ENSG00000158006.14
607	ENSG00000158008	2134	EXTL1	ENSG00000158008.10
608	ENSG00000158014	7780	SLC30A2	ENSG00000158014.15
609	ENSG00000158022	84676	TRIM63	ENSG00000158022.6
610	ENSG00000158055	57822	GRHL3	ENSG00000158055.15
611	ENSG00000158062	91544	UBXN11	ENSG00000158062.20
612	ENSG00000158156	55113	XKR8	ENSG00000158156.8
613	ENSG00000158161	2140	EYA3	ENSG00000158161.16
614	ENSG00000158195	10163	WASF2	ENSG00000158195.11
615	ENSG00000158246	115572	TENT5B	ENSG00000158246.8
616	ENSG00000158747	4681	NBL1	ENSG00000158747.14
617	ENSG00000158747	100532736	NBL1	ENSG00000158747.14
618	ENSG00000158748	3362	HTR6	ENSG00000158748.4
619	ENSG00000158786	64600	PLA2G2F	ENSG00000158786.4
620	ENSG00000158816	127731	VWA5B1	ENSG00000158816.15
621	ENSG00000158825	978	CDA	ENSG00000158825.6
622	ENSG00000158828	65018	PINK1	ENSG00000158828.8
623	ENSG00000159023	2035	EPB41	ENSG00000159023.21
624	ENSG00000159189	714	C1QC	ENSG00000159189.12
625	ENSG00000159339	23569	PADI4	ENSG00000159339.13
626	ENSG00000159363	23400	ATP13A2	ENSG00000159363.18
627	ENSG00000159423	8659	ALDH4A1	ENSG00000159423.17
628	ENSG00000162419	10691	GMEB1	ENSG00000162419.12
629	ENSG00000162430	57190	SELENON	ENSG00000162430.17
630	ENSG00000162438	11330	CTRC	ENSG00000162438.12
631	ENSG00000162458	54751	FBLIM1	ENSG00000162458.13
632	ENSG00000162460	388595	TMEM82	ENSG00000162460.7
633	ENSG00000162461	284723	SLC25A34	ENSG00000162461.8
634	ENSG00000162482	22977	AKR7A3	ENSG00000162482.5
635	ENSG00000162542	255104	TMCO4	ENSG00000162542.13
636	ENSG00000162543	127733	UBXN10	ENSG00000162543.6
637	ENSG00000162545	55450	CAMK2N1	ENSG00000162545.6
638	ENSG00000162551	249	ALPL	ENSG00000162551.14
639	ENSG00000162552	54361	WNT4	ENSG00000162552.15
640	ENSG00000169403	5724	PTAFR	ENSG00000169403.12
641	ENSG00000169442	1043	CD52	ENSG00000169442.9
642	ENSG00000169504	25932	CLIC4	ENSG00000169504.15
643	ENSG00000169641	7798	LUZP1	ENSG00000169641.13
644	ENSG00000169914	23252	OTUD3	ENSG00000169914.6
645	ENSG00000169991	126917	IFFO2	ENSG00000169991.11
647	ENSG00000173369	713	C1QB	ENSG00000173369.16
648	ENSG00000173372	712	C1QA	ENSG00000173372.17
649	ENSG00000173436	440574	MICOS10	ENSG00000173436.15
650	ENSG00000173641	27129	HSPB7	ENSG00000173641.17
651	ENSG00000174950	388611	CD164L2	ENSG00000174950.11
652	ENSG00000175087	149420	PDIK1L	ENSG00000175087.10
653	ENSG00000175707	126695	KDF1	ENSG00000175707.9
654	ENSG00000175793	2810	SFN	ENSG00000175793.12
655	ENSG00000176083	257101	ZNF683	ENSG00000176083.17
656	ENSG00000176092	55057	CRYBG2	ENSG00000176092.15
659	ENSG00000178828	54546	RNF186	ENSG00000178828.7
660	ENSG00000179002	80834	TAS1R2	ENSG00000179002.5
661	ENSG00000179023	127707	KLHDC7A	ENSG00000179023.8
662	ENSG00000179051	55920	RCC2	ENSG00000179051.14
663	ENSG00000179163	2517	FUCA1	ENSG00000179163.11
664	ENSG00000179546	3352	HTR1D	ENSG00000179546.4
666	ENSG00000180098	54952	TRNAU1AP	ENSG00000180098.9
667	ENSG00000180198	1104	RCC1	ENSG00000180198.16
668	ENSG00000181773	2827	GPR3	ENSG00000181773.7
669	ENSG00000182749	164091	PAQR7	ENSG00000182749.5
670	ENSG00000183114	163933	FAM43B	ENSG00000183114.8
671	ENSG00000183726	23585	TMEM50A	ENSG00000183726.11
672	ENSG00000183888	149563	SRARP	ENSG00000183888.4
673	ENSG00000184454	400746	NCMAP	ENSG00000184454.7
674	ENSG00000184677	9923	ZBTB40	ENSG00000184677.18
675	ENSG00000184908	1188	CLCNKB	ENSG00000184908.17
676	ENSG00000185436	163702	IFNLR1	ENSG00000185436.12
677	ENSG00000185519	348487	FAM131C	ENSG00000185519.9
679	ENSG00000186501	84065	TMEM222	ENSG00000186501.14
680	ENSG00000186510	1187	CLCNKA	ENSG00000186510.12
682	ENSG00000186715	11223	MST1L	ENSG00000186715.11
683	ENSG00000187010	6007	RHD	ENSG00000187010.21
684	ENSG00000187144	374955	SPATA21	ENSG00000187144.11
685	ENSG00000187942	401944	LDLRAD2	ENSG00000187942.12
687	ENSG00000187980	391013	PLA2G2C	ENSG00000187980.6
688	ENSG00000188060	115273	RAB42	ENSG00000188060.7
689	ENSG00000188257	5320	PLA2G2A	ENSG00000188257.11
690	ENSG00000188529	10772	SRSF10	ENSG00000188529.15
691	ENSG00000188672	6006	RHCE	ENSG00000188672.18
692	ENSG00000188782	378807	CATSPER4	ENSG00000188782.8
693	ENSG00000188784	30814	PLA2G2E	ENSG00000188784.4
694	ENSG00000188822	1269	CNR2	ENSG00000188822.8
695	ENSG00000189266	55629	PNRC2	ENSG00000189266.13
696	ENSG00000189410	400745	SH2D5	ENSG00000189410.12
697	ENSG00000197245	79927	FAM110D	ENSG00000197245.6
698	ENSG00000197312	84301	DDI2	ENSG00000197312.12
699	ENSG00000197880	259283	MDS2	ENSG00000197880.8
701	ENSG00000198492	51441	YTHDF2	ENSG00000198492.16
702	ENSG00000198746	63906	GPATCH3	ENSG00000198746.13
703	ENSG00000198830	3151	HMGN2	ENSG00000198830.11
711	ENSG00000204138	65979	PHACTR4	ENSG00000204138.13
712	ENSG00000204160	84243	ZDHHC18	ENSG00000204160.12
713	ENSG00000204178	55219	MACO1	ENSG00000204178.11
714	ENSG00000204219	6920	TCEA3	ENSG00000204219.11
729	ENSG00000211454	246181	AKR7L	ENSG00000211454.14
734	ENSG00000215695	6248	RSC1A1	ENSG00000215695.1
735	ENSG00000215704	51032	CELA2B	ENSG00000215704.10
738	ENSG00000215906	646262	LACTBL1	ENSG00000215906.8
741	ENSG00000219073	23436	CELA3B	ENSG00000219073.8
742	ENSG00000219481	55672	NBPF1	ENSG00000219481.10
789	ENSG00000227868	729059	TEX46	ENSG00000227868.6
839	ENSG00000233954	440567	UQCRHL	ENSG00000233954.6
885	ENSG00000242125	8420	SNHG3	ENSG00000242125.3
889	ENSG00000244038	1650	DDOST	ENSG00000244038.9
903	ENSG00000253304	399474	TMEM200B	ENSG00000253304.2
904	ENSG00000253368	388610	TRNP1	ENSG00000253368.4
949	ENSG00000276747	353238	PADI6	ENSG00000276747.1
969	ENSG00000282872	110806296	C1orf232	ENSG00000282872.1
998	ENSG00000004455	204	AK2	ENSG00000004455.17
999	ENSG00000010803	22955	SCMH1	ENSG00000010803.16
1000	ENSG00000020129	23154	NCDN	ENSG00000020129.16
1001	ENSG00000025800	23633	KPNA6	ENSG00000025800.14
1002	ENSG00000043514	54802	TRIT1	ENSG00000043514.17
1003	ENSG00000044012	2981	GUCA2B	ENSG00000044012.4
1004	ENSG00000049089	1298	COL9A2	ENSG00000049089.15
1005	ENSG00000054116	27095	TRAPPC3	ENSG00000054116.12
1006	ENSG00000054118	9967	THRAP3	ENSG00000054118.15
1007	ENSG00000060656	10076	PTPRU	ENSG00000060656.20
1008	ENSG00000060688	9410	SNRNP40	ENSG00000060688.13
1009	ENSG00000065978	4904	YBX1	ENSG00000065978.19
1010	ENSG00000066056	7075	TIE1	ENSG00000066056.14
1011	ENSG00000066135	9682	KDM4A	ENSG00000066135.13
1012	ENSG00000066136	4802	NFYC	ENSG00000066136.20
1013	ENSG00000066185	84217	ZMYND12	ENSG00000066185.13
1014	ENSG00000066322	64834	ELOVL1	ENSG00000066322.15
1015	ENSG00000070759	10420	TESK2	ENSG00000070759.17
1016	ENSG00000070785	8891	EIF2B3	ENSG00000070785.17
1017	ENSG00000084070	64744	SMAP2	ENSG00000084070.12
1018	ENSG00000084072	10450	PPIE	ENSG00000084072.17
1019	ENSG00000084073	10269	ZMPSTE24	ENSG00000084073.9
1020	ENSG00000084623	8668	EIF3I	ENSG00000084623.11
1021	ENSG00000084628	79570	NKAIN1	ENSG00000084628.10
1022	ENSG00000084636	1307	COL16A1	ENSG00000084636.18
1023	ENSG00000084652	200081	TXLNA	ENSG00000084652.16
1024	ENSG00000090621	8761	PABPC4	ENSG00000090621.14
1025	ENSG00000092847	26523	AGO1	ENSG00000092847.12
1026	ENSG00000092850	27285	TEKT2	ENSG00000092850.12
1027	ENSG00000092853	63967	CLSPN	ENSG00000092853.14
1028	ENSG00000116353	51102	MECR	ENSG00000116353.16
1029	ENSG00000116478	3065	HDAC1	ENSG00000116478.12
1030	ENSG00000116497	64766	S100PBP	ENSG00000116497.18
1031	ENSG00000116514	127544	RNF19B	ENSG00000116514.16
1032	ENSG00000116525	55223	TRIM62	ENSG00000116525.14
1033	ENSG00000116544	58512	DLGAP3	ENSG00000116544.12
1034	ENSG00000116560	6421	SFPQ	ENSG00000116560.11
